Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
Petrol,120000,3,Maruti,Maruti Celerio,2015,400000,2015,Manual,23.1,998,5,bangalore,9
Petrol,32706,2,Ford,Ford Ecosport,2018,811000,2018,Manual,17.0,1497,5,bangalore,6
Petrol,11949,1,Tata,Tata Tiago,2018,585000,2018,Manual,23.84,1199,5,bangalore,6
Petrol,17794,1,Hyundai,Hyundai Xcent,2014,462000,2014,Manual,19.1,1197,5,bangalore,10
Diesel,60000,1,Maruti,Maruti SX4 S Cross,2015,790000,2015,Manual,23.65,1248,5,bangalore,9
Diesel,20000,1,Jeep,Jeep Compass,2020,1900000,2020,Manual,17.1,1956,5,bangalore,4
Petrol,37772,1,Datsun,Datsun GO,2017,345000,2017,Manual,20.63,1198,5,bangalore,7
Petrol,30000,1,Hyundai,Hyundai Venue,2021,1200000,2021,Automatic,18.15,998,5,bangalore,3
Petrol,37000,1,Maruti,Maruti Ciaz,2018,960000,2018,Automatic,20.28,1462,5,bangalore,6
Petrol,11949,1,Tata,Tata Tiago,2017,585000,2018,Manual,23.84,1199,5,bangalore,7
Petrol,50000,1,Maruti,Maruti Baleno,2018,690000,2018,Manual,21.4,1197,5,bangalore,6
Petrol,24887,1,Hyundai,Hyundai Grand i10,2019,682000,2019,Automatic,18.9,1197,5,bangalore,5
Petrol,23000,1,Honda,Honda Jazz,2018,825000,2018,Automatic,18.2,1199,5,bangalore,6
Petrol,48928,1,Tata,Tata Tiago,2018,595000,2018,Automatic,23.84,1199,5,bangalore,6
Diesel,108862,3,Mahindra,Mahindra XUV500,2014,690000,2014,Manual,15.1,2179,7,bangalore,10
Diesel,80000,1,Jeep,Jeep Compass,2018,1350000,2018,Manual,17.1,1956,5,bangalore,6
Diesel,16000,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000,2022,Automatic,19.31,1950,5,bangalore,2
Diesel,65376,2,Hyundai,Hyundai i20,2014,521000,2014,Manual,21.27,1396,5,bangalore,10
Petrol,10000,1,Tata,Tata Nexon,2022,1005000,2022,Manual,17.33,1199,5,bangalore,2
Petrol,67000,2,Honda,Honda City,2016,775000,2016,Manual,17.8,1497,5,bangalore,8
Diesel,100000,3,BMW,BMW 5 Series,2011,2200000,2011,Automatic,18.48,1995,5,bangalore,13
Petrol,18083,1,Maruti,Maruti Swift,2016,582000,2016,Manual,22.38,1197,5,bangalore,8
Petrol,30000,1,Renault,Renault Duster,2020,1090000,2020,Manual,16.42,1498,5,bangalore,4
Petrol,57634,2,Tata,Tata Tiago,2016,457000,2016,Manual,23.84,1199,5,bangalore,8
Petrol,50000,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000,2016,Automatic,7.81,4663,5,bangalore,8
Petrol,110000,1,Honda,Honda City,2015,550000,2015,Manual,17.4,1497,5,bangalore,9
Petrol,23447,1,Hyundai,Hyundai Santro,2018,570000,2018,Automatic,20.3,1086,5,bangalore,6
Lpg,30000,2,Hyundai,Hyundai Santro Xing,2009,220000,2009,Manual,13.45,1086,5,bangalore,15
Petrol,33000,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4145000,2017,Automatic,15.0,1991,5,bangalore,7
Diesel,87667,2,Mahindra,Mahindra XUV500,2014,861000,2014,Manual,15.1,2179,7,bangalore,10
Diesel,40000,2,Audi,Audi A4,2016,1785000,2016,Automatic,17.11,1968,5,bangalore,8
Diesel,79012,2,Mahindra,Mahindra XUV500,2014,802999,2014,Manual,15.1,2179,7,bangalore,10
Diesel,31344,1,Jeep,Jeep Compass,2021,2565000,2021,Manual,17.1,1956,5,bangalore,3
Petrol,50000,1,Hyundai,Hyundai Xcent,2018,674000,2018,Manual,20.14,1197,5,bangalore,6
Petrol,12434,1,Maruti,Maruti Wagon R,2015,349000,2015,Manual,20.51,998,5,bangalore,9
