ft,bt,km,ownerNo,oem,modelYear,Insurance Validity,Transmission,Mileage,Engine,Torque,Color,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,city,Max Power
Petrol,SUV,24000,1,Hyundai,2021,Comprehensive,Manual,19.305221281860927,1497.0,143.0,Black,4.0,4.0,4300.0,1790.0,1635.0,2610.0,1305.0,6 Speed,5,Power,Tubeless Radial,5,delhi,113.0
Diesel,SUV,80000,2,Mahindra,2015,Comprehensive,Manual,18.49,1493.0,240.0,Silver,3.0,2.0,3995.0,1835.0,1826.0,2680.0,1725.0,5 Speed,7,Power,Tubeless Radial,5,bangalore,100.0
Diesel,MUV,69000,1,Toyota,2018,Comprehensive,Automatic,11.36,2755.0,360.0,Brown,4.0,4.0,4735.0,1830.0,1795.0,2750.0,1830.0,6 Speed,7,Power,Tubeless Radial,5,delhi,171.0
Petrol,Sedan,40000,1,Maruti,2022,Third Party,Manual,22.41,1197.0,113.0,Others,4.0,4.0,3995.0,1735.0,1515.0,2450.0,880.0,5 Speed,5,Electric,Tubeless Radial,4,hyderabad,88.0
Diesel,SUV,50000,2,Maruti,2018,Third Party,Manual,24.3,1248.0,200.0,Red,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1210.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,88.0
Petrol,SUV,72563,1,Hyundai,2019,Third Party,Automatic,18.15,998.0,171.0,White,3.0,4.0,3995.0,1770.0,1605.0,2500.0,1440.0,7 Speed,5,Power,Radial,5,hyderabad,118.0
Petrol,Hatchback,100000,3,Hyundai,2006,Third Party,Manual,17.0,1086.0,177.72343242267422,Others,4.0,4.0,4072.5542822677926,1718.2144581221337,1558.5103739445115,2518.403850840848,1070.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,104.8177879407871
Petrol,Hatchback,54024,1,Maruti,2017,Comprehensive,Manual,21.4,1197.0,115.0,Grey,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,chennai,83.0
Diesel,SUV,44416,1,Renault,2019,Third Party,Manual,19.6,1461.0,245.0,Blue,4.0,4.0,4315.0,1822.0,1695.0,2673.0,1280.0,6 Speed,5,Power,Tubeless Radial,5,hyderabad,108.0
Petrol,Hatchback,10000,1,Maruti,2020,Third Party,Manual,21.01,1197.0,113.0,Others,4.0,4.0,3995.0,1745.0,1510.0,2520.0,865.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,81.0
