Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
4.0,8.333333333333334e-06,3,20.0,160.0,2015,400000,2015,1.0,23.1,998,5,0.0,9
4.0,3.057542958478566e-05,2,6.0,50.0,2018,811000,2018,1.0,17.0,1497,5,0.0,6
4.0,8.368901163277262e-05,1,29.0,273.0,2018,585000,2018,1.0,23.84,1199,5,0.0,6
4.0,5.619871866921434e-05,1,9.0,87.0,2014,462000,2014,1.0,19.1,1197,5,0.0,10
1.0,1.6666666666666667e-05,1,20.0,178.0,2015,790000,2015,1.0,23.65,1248,5,0.0,9
1.0,5e-05,1,12.0,101.0,2020,1900000,2020,1.0,17.1,1956,5,0.0,4
4.0,2.6474637297469023e-05,1,4.0,37.0,2017,345000,2017,1.0,20.63,1198,5,0.0,7
4.0,3.3333333333333335e-05,1,9.0,85.0,2021,1200000,2021,0.0,18.15,998,5,0.0,3
4.0,2.7027027027027027e-05,1,20.0,163.0,2018,960000,2018,0.0,20.28,1462,5,0.0,6
4.0,8.368901163277262e-05,1,29.0,273.0,2017,585000,2018,1.0,23.84,1199,5,0.0,7
4.0,2e-05,1,20.0,157.0,2018,690000,2018,1.0,21.4,1197,5,0.0,6
4.0,4.0181620926588175e-05,1,9.0,77.0,2019,682000,2019,0.0,18.9,1197,5,0.0,5
4.0,4.347826086956522e-05,1,8.0,66.0,2018,825000,2018,0.0,18.2,1199,5,0.0,6
4.0,2.0438194898626555e-05,1,29.0,273.0,2018,595000,2018,0.0,23.84,1199,5,0.0,6
1.0,9.185941834616303e-06,3,17.0,147.0,2014,690000,2014,1.0,15.1,2179,7,0.0,10
1.0,1.25e-05,1,12.0,101.0,2018,1350000,2018,1.0,17.1,1956,5,0.0,6
1.0,6.25e-05,1,21.0,204.0,2022,5595000,2022,0.0,19.31,1950,5,0.0,2
1.0,1.529613313754283e-05,2,9.0,90.0,2014,521000,2014,1.0,21.27,1396,5,0.0,10
4.0,0.0001,1,29.0,265.0,2022,1005000,2022,1.0,17.33,1199,5,0.0,2
4.0,1.4925373134328359e-05,2,8.0,63.0,2016,775000,2016,1.0,17.8,1497,5,0.0,8
1.0,1e-05,3,1.0,17.0,2011,2200000,2011,0.0,18.48,1995,5,0.0,13
4.0,5.530055853564121e-05,1,20.0,179.0,2016,582000,2016,1.0,22.38,1197,5,0.0,8
4.0,3.3333333333333335e-05,1,27.0,236.0,2020,1090000,2020,1.0,16.42,1498,5,0.0,4
4.0,1.7350869278550856e-05,2,29.0,273.0,2016,457000,2016,1.0,23.84,1199,5,0.0,8
4.0,9.090909090909091e-06,1,8.0,63.0,2015,550000,2015,1.0,17.4,1497,5,0.0,9
4.0,4.264937945152898e-05,1,9.0,81.0,2018,570000,2018,0.0,20.3,1086,5,0.0,6
3.0,3.3333333333333335e-05,2,9.0,82.0,2009,220000,2009,1.0,13.45,1086,5,0.0,15
4.0,3.0303030303030302e-05,1,21.0,200.0,2017,4145000,2017,0.0,15.0,1991,5,0.0,7
1.0,1.1406800734597967e-05,2,17.0,147.0,2014,861000,2014,1.0,15.1,2179,7,0.0,10
1.0,2.5e-05,2,0.0,3.0,2016,1785000,2016,0.0,17.11,1968,5,0.0,8
1.0,1.2656305371336e-05,2,17.0,147.0,2014,802999,2014,1.0,15.1,2179,7,0.0,10
1.0,3.1904032669729455e-05,1,12.0,101.0,2021,2565000,2021,1.0,17.1,1956,5,0.0,3
4.0,2e-05,1,9.0,87.0,2018,674000,2018,1.0,20.14,1197,5,0.0,6
4.0,8.042464211034261e-05,1,20.0,184.0,2015,349000,2015,1.0,20.51,998,5,0.0,9
